game,platform,genre,release_date,metascore,genre_code_RAWG,months_from_release
The Longest Five Minutes,Switch,Role-Playing,2018-02-13,67,5.0,26
Transference,XONE,Adventure,2018-09-18,67,3.0,19
Shining Resonance Refrain,PS4,Role-Playing,2018-07-10,67,5.0,21
Guns of Icarus Alliance,PS4,Simulation,2018-05-01,67,14.0,23
Urban Trial Playground,Switch,Sports,2018-04-05,67,15.0,24
Bus Simulator 18,PC,Simulation,2018-06-13,67,14.0,22
Dissidia: Final Fantasy NT,PS4,Action,2018-01-30,67,4.0,27
Yo-kai Watch Blasters: White Dog Squad,3DS,Action,2018-09-07,67,4.0,19
Red Faction: Guerrilla Re-Mars-tered,PC,Action,2018-07-03,67,4.0,21
Sea of Thieves,PC,Role-Playing,2018-03-20,67,5.0,25
The Council - Episode 2: Hide and Seek,PS4,Adventure,2018-05-15,67,3.0,23
Infernium,Switch,Action Adventure,2018-04-05,67,3.0,24
Monster Energy Supercross: The Official Videogame,PS4,Racing,2018-02-13,67,1.0,26
Super Daryl Deluxe,PS4,Role-Playing,2018-04-10,67,5.0,24
Inked,PC,Adventure,2018-04-26,67,3.0,24
Shape of the World,Switch,Action Adventure,2018-06-06,67,3.0,22
TT Isle of Man: Ride On The Edge,PS4,Racing,2018-03-06,67,1.0,25
Save me Mr Tako: Tasukete Tako-San,Switch,Action,2018-10-30,67,4.0,18
The King's Bird,PC,Action,2018-08-23,67,4.0,20
Crossing Souls,Switch,Action Adventure,2018-07-26,67,3.0,21
Toki,Switch,Action,2018-12-04,66,4.0,16
H1Z1: Battle Royale,PS4,Action,2018-08-07,66,4.0,20
Rad Rodgers,PS4,Action,2018-02-21,66,4.0,26
Through the Woods,XONE,Action Adventure,2018-05-02,66,3.0,23
State of Decay 2,XONE,Action Adventure,2018-05-18,66,3.0,23
MotoGP 18,PS4,Racing,2018-06-07,66,1.0,22
City of Brass,PS4,Action Adventure,2018-05-04,66,3.0,23
Fallen Legion: Rise to Glory,Switch,Role-Playing,2018-05-29,66,5.0,23
Code of Princess EX,Switch,Role-Playing,2018-07-31,66,5.0,21
Ash of Gods: Redemption,PC,Strategy,2018-03-23,65,10.0,25
LEGO The Incredibles,Switch,Action Adventure,2018-06-15,65,3.0,22
FOX n FORESTS,PS4,Action,2018-05-17,65,4.0,23
Dark Eclipse,PS4,Action,2018-09-25,65,4.0,19
Punch Line,PS4,Action,2018-10-09,65,4.0,18
Antigraviator,PC,Racing,2018-06-06,65,1.0,22
Just Cause 4,PS4,Action Adventure,2018-12-04,65,3.0,16
Pokemon Quest,Switch,Role-Playing,2018-05-29,64,5.0,23
Vesta,Switch,Action Adventure,2018-01-19,64,3.0,27
The Crew 2,PS4,Racing,2018-06-26,64,1.0,22
Omen of Sorrow,PS4,Action,2018-11-06,64,4.0,17
Conan Exiles,XONE,Action Adventure,2018-05-08,64,3.0,23
Farming Simulator 19,PS4,Simulation,2018-11-20,64,14.0,17
Kerbal Space Program: Enhanced Edition,PS4,Simulation,2018-01-16,64,14.0,27
