game,platform,genre,release_date,metascore,genre_code_RAWG,months_from_release
Portal 2,PC,Action,2011-04-18,95,4.0,108
Batman: Arkham City,PC,Action Adventure,2011-11-21,91,3.0,101
Super Mario 3D Land,3DS,Action,2011-11-13,90,4.0,101
Deus Ex: Human Revolution,PC,Action,2011-08-23,90,4.0,104
Total War: Shogun 2,PC,Strategy,2011-03-15,90,10.0,109
Battlefield 3,PC,Action,2011-10-25,89,4.0,102
Assassin's Creed: Brotherhood,PC,Action Adventure,2011-03-22,88,3.0,109
The Witcher 2: Assassins of Kings,PC,Role-Playing,2011-05-17,88,5.0,107
Dead Space 2,PC,Action,2011-01-25,87,4.0,111
Crysis 2,PC,Action,2011-03-22,86,4.0,109
DiRT 3,PC,Driving,2011-05-23,86,1.0,107
Battlefield 3: Back to Karkand,PC,Action,2011-12-13,86,4.0,100
Super Street Fighter IV: 3D Edition,3DS,Action,2011-03-27,85,4.0,109
Frozen Synapse,PC,Strategy,2011-05-26,85,10.0,107
Mario Kart 7,3DS,Driving,2011-12-04,85,1.0,100
Saints Row: The Third,PC,Action Adventure,2011-11-14,84,3.0,101
Super Street Fighter IV: Arcade Edition,PC,Action,2011-07-07,84,4.0,105
Football Manager 2012,PC,Sports,2011-10-20,84,15.0,102
Unity of Command,PC,Strategy,2011-11-15,84,10.0,101
The Binding of Isaac,PC,Action,2011-09-28,84,4.0,103
Trine 2,PC,Action,2011-12-07,84,4.0,100
Rift,PC,Role-Playing,2011-03-01,84,5.0,109
Shift 2: Unleashed,PC,Driving,2011-03-29,84,1.0,109
Anno 2070,PC,Strategy,2011-11-17,83,10.0,101
Orcs Must Die!,PC,Action,2011-10-11,83,4.0,102
L.A. Noire: The Complete Edition,PC,Action Adventure,2011-11-08,83,3.0,101
The Book of Unwritten Tales,PC,Adventure,2011-10-28,82,3.0,102
Cave Story 3D,3DS,Action,2011-11-08,82,4.0,101
Gemini Rue,PC,Adventure,2011-02-24,82,3.0,110
Dragon Age II,PC,Role-Playing,2011-03-08,82,5.0,109
Skylanders: Spyro's Adventure,3DS,Action,2011-10-16,82,4.0,102
Monday Night Combat,PC,Action,2011-01-24,82,4.0,111
Bulletstorm,PC,General,2011-02-21,82,40.0,110
Fallout: New Vegas - Old World Blues,PC,Role-Playing,2011-07-19,82,5.0,105
To the Moon,PC,Role-Playing,2011-11-01,81,5.0,101
Star Fox 64 3D,3DS,Action,2011-09-09,81,4.0,103
Rochard,PC,Action,2011-11-15,81,4.0,101
Jamestown: Legend of the Lost Colony,PC,Action,2011-06-08,81,4.0,106
TrackMania 2 Canyon,PC,Driving,2011-09-14,81,1.0,103
Dungeon Defenders,PC,Role-Playing,2011-10-18,81,5.0,102
Anomaly: Warzone Earth,PC,Strategy,2011-04-08,80,10.0,108
Dead Island,PC,Action Adventure,2011-09-05,80,3.0,103
Assassin's Creed: Revelations,PC,Action Adventure,2011-11-29,80,3.0,101
"Warhammer 40,000: Dawn of War II - Retribution",PC,Strategy,2011-02-28,80,10.0,110
Panzer Corps,PC,Strategy,2011-07-11,80,10.0,105
Driver: San Francisco,PC,Driving,2011-09-27,80,1.0,103
CAPSIZED,PC,Action,2011-04-29,80,4.0,108
Dead or Alive: Dimensions,3DS,Action,2011-05-24,79,4.0,107
Runaway: A Twist of Fate,PC,Adventure,2011-04-21,79,3.0,108
Bloodline Champions,PC,Action,2011-01-13,79,4.0,111
Dungeons of Dredmor,PC,Role-Playing,2011-07-13,79,5.0,105
Rage,PC,Action,2011-10-03,79,4.0,102
The Sims 3: Pets,PC,Simulation,2011-10-18,79,14.0,102
Mighty Switch Force!,3DS,Action,2011-12-22,79,4.0,100
Two Worlds II: Pirates of the Flying Fortress,PC,Role-Playing,2011-09-30,78,5.0,103
Call of Duty: Modern Warfare 3,PC,Action,2011-11-08,78,4.0,101
Shin Megami Tensei: Devil Survivor Overclocked,3DS,Role-Playing,2011-08-23,78,5.0,104
Tropico 4,PC,Strategy,2011-08-30,78,10.0,104
Tom Clancy's Ghost Recon: Shadow Wars,3DS,Action,2011-03-22,77,4.0,109
Men of War: Assault Squad,PC,Strategy,2011-02-25,77,10.0,110
3D Classics: Kirby's Adventure,3DS,Action,2011-11-17,77,4.0,101
Section 8: Prejudice,PC,Action,2011-05-04,77,4.0,107
Might & Magic: Heroes VI,PC,Role-Playing,2011-10-13,77,5.0,102
Pro Evolution Soccer 2012,PC,Sports,2011-09-27,77,15.0,103
Xenonauts,PC,General,2011-11-04,77,40.0,101
Magic: The Gathering - Duels of the Planeswalkers 2012,PC,Strategy,2011-06-15,77,10.0,106
The Sims Medieval,PC,Simulation,2011-03-22,77,14.0,109
Hamilton's Great Adventure,PC,Adventure,2011-05-31,77,3.0,107
From Dust,PC,Strategy,2011-08-17,76,10.0,104
Renegade Ops,PC,Action,2011-10-26,76,4.0,102
Red Orchestra 2: Heroes of Stalingrad,PC,Action,2011-09-13,76,4.0,103
Who's That Flying?!,PC,Action,2011-01-31,76,4.0,111
Payday: The Heist,PC,Action,2011-10-20,76,4.0,102
Two Worlds II,PC,Role-Playing,2011-02-03,76,5.0,110
Avadon: The Black Fortress,PC,Role-Playing,2011-05-02,75,5.0,107
Black Mirror III: Final Fear,PC,Adventure,2011-04-19,75,3.0,108
Red Faction: Armageddon,PC,Action,2011-06-06,75,4.0,106
Back to the Future: The Game - Episode V: OUTATIME,PC,Action Adventure,2011-06-23,75,3.0,106
Atom Zombie Smasher,PC,Strategy,2011-01-23,75,10.0,111
Fable III,PC,Role-Playing,2011-05-17,75,5.0,107
Ridge Racer 3D,3DS,Driving,2011-03-22,75,1.0,109
Nano Assault,3DS,Action,2011-12-05,75,4.0,100
Alice: Madness Returns,PC,Action Adventure,2011-06-14,75,3.0,106
Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists,PC,Action,2011-04-27,75,4.0,108
The Next Big Thing,PC,Adventure,2011-04-21,75,3.0,108
Back to the Future: The Game - Episode II: Get Tannen!,PC,Action Adventure,2011-02-17,74,3.0,110
Edge (2011),PC,Action,2011-08-11,74,4.0,104
Space Pirates and Zombies,PC,Adventure,2011-06-19,74,3.0,106
Magicka,PC,Action Adventure,2011-01-25,74,3.0,111
"Warhammer 40,000: Space Marine",PC,Action,2011-09-05,74,4.0,103
Rock of Ages,PC,Action,2011-09-07,74,4.0,103
Fortix 2,PC,Action Adventure,2011-05-06,74,3.0,107
Deus Ex: Human Revolution - The Missing Link,PC,Action Adventure,2011-10-18,73,3.0,102
Hector: Badge of Carnage - Episode 2: Senseless Acts of Justice,PC,Action,2011-08-25,73,4.0,104
The Blackwell Deception,PC,Adventure,2011-10-12,73,3.0,102
Hard Reset,PC,Action,2011-09-13,73,4.0,103
Pro Evolution Soccer 2011 3D,3DS,Sports,2011-03-25,73,15.0,109
Solar 2,PC,Action,2011-06-17,72,4.0,106
Serious Sam 3: BFE,PC,Action,2011-11-22,72,4.0,101
Blocks That Matter,PC,Action,2011-08-19,72,4.0,104
DC Universe Online,PC,Role-Playing,2011-01-11,72,5.0,111
Gray Matter,PC,Adventure,2011-02-22,72,3.0,110
Dungeon Siege III,PC,Role-Playing,2011-06-20,72,5.0,106
Test Drive Unlimited 2,PC,Driving,2011-02-08,72,1.0,110
FIFA Manager 12,PC,Sports,2011-10-18,72,15.0,102
Nintendogs + Cats: French Bulldog & New Friends,3DS,Simulation,2011-03-27,71,14.0,109
Back to the Future: The Game - Episode III: Citizen Brown,PC,Action Adventure,2011-03-28,71,3.0,109
Nintendogs + Cats: Toy Poodle & New Friends,3DS,Simulation,2011-03-27,71,14.0,109
Nintendogs + Cats: Golden Retriever & New Friends,3DS,Simulation,2011-03-27,71,14.0,109
WWE All Stars,3DS,Action,2011-11-22,71,4.0,101
Nuclear Dawn,PC,Action,2011-09-22,71,4.0,103
LEGO Pirates of the Caribbean: The Video Game,3DS,Action Adventure,2011-05-10,71,3.0,107
Ace Combat: Assault Horizon Legacy,3DS,Action,2011-11-15,71,4.0,101
Black Mirror II: Reigning Evil,PC,Adventure,2011-02-08,71,3.0,110
Pilotwings Resort,3DS,Simulation,2011-03-27,71,14.0,109
Back to the Future: The Game - Episode IV: Double Visions,PC,Action Adventure,2011-04-29,71,3.0,108
Hector: Badge of Carnage - Episode 3: Beyond Reasonable Doom,PC,Action,2011-09-22,70,4.0,103
Age of Empires Online,PC,Strategy,2011-08-16,70,10.0,104
Sanctum (2011),PC,Action,2011-04-15,70,4.0,108
Take On Helicopters,PC,Simulation,2011-10-16,70,14.0,102
Cities in Motion,PC,Simulation,2011-02-22,70,14.0,110
Brink,PC,Action,2011-05-09,70,4.0,107
The Sims 3: Generations,PC,Simulation,2011-05-31,70,14.0,107
Fallout: New Vegas - Dead Money,PC,Role-Playing,2011-02-22,70,5.0,110
Before the Echo,PC,Action,2011-10-20,70,4.0,102
Homefront,PC,Action,2011-03-14,70,4.0,109
Pride of Nations,PC,Strategy,2011-06-07,70,10.0,106
Fate of the World,PC,Strategy,2011-02-28,70,10.0,110
Sengoku,PC,Strategy,2011-09-13,70,10.0,103
Shinobi,3DS,Action,2011-11-15,69,4.0,101
Forsaken World,PC,Role-Playing,2011-03-22,69,5.0,109
Runespell: Overture,PC,Role-Playing,2011-07-20,69,5.0,105
Earth Defense Force: Insect Armageddon,PC,Action,2011-12-14,69,4.0,100
3D Classics: TwinBee,3DS,Action,2011-09-22,68,4.0,103
Mount & Blade: With Fire & Sword,PC,Role-Playing,2011-05-03,68,5.0,107
Men of War: Vietnam,PC,Strategy,2011-09-08,68,10.0,103
Battlefield: Play4Free,PC,Action,2011-03-10,68,4.0,109
Oil Rush,PC,Strategy,2011-09-23,67,10.0,103
Xotic,PC,Action,2011-09-16,67,4.0,103
Railworks 3: Train Simulator 2012,PC,Simulation,2011-09-23,67,14.0,103
FIFA Soccer 12,3DS,Sports,2011-09-27,67,15.0,103
The Sims Medieval: Pirates & Nobles,PC,Simulation,2011-08-30,67,14.0,104
LEGO Star Wars III: The Clone Wars,3DS,Action Adventure,2011-03-27,67,3.0,109
Operation Flashpoint: Red River,PC,Action,2011-06-06,67,4.0,106
Sonic Generations,3DS,Action,2011-11-22,66,4.0,101
The Lord of the Rings: War in the North,PC,Role-Playing,2011-11-01,66,5.0,101
Dragon Age II: Legacy,PC,Role-Playing,2011-07-26,66,5.0,105
Fallout: New Vegas - Honest Hearts,PC,Role-Playing,2011-05-17,66,5.0,107
Dead Rising 2: Off the Record,PC,Action Adventure,2011-10-11,66,3.0,102
Serious Sam Double D,PC,Action,2011-08-30,66,4.0,104
Dungeons,PC,Strategy,2011-02-10,65,10.0,110
Need for Speed: The Run,3DS,Driving,2011-11-15,65,1.0,101
Darkspore,PC,Role-Playing,2011-04-25,65,5.0,108
Resident Evil: The Mercenaries 3D,3DS,Action Adventure,2011-06-28,65,3.0,106
Hoard,PC,Action,2011-04-04,65,4.0,108
Serious Sam: The Random Encounter,PC,Action,2011-10-24,64,4.0,102
BlazBlue: Continuum Shift II,3DS,Action,2011-05-31,64,4.0,107
Hydrophobia Prophecy,PC,Action Adventure,2011-05-09,64,3.0,107
Supreme Ruler: Cold War,PC,Strategy,2011-07-19,63,10.0,105
The Baconing,PC,Action,2011-08-31,63,4.0,104
Harvest Moon 3D: The Tale of Two Towns,3DS,Strategy,2011-11-01,63,10.0,101
Mass Effect 2: Arrival,PC,Role-Playing,2011-03-29,63,5.0,109
The Tiny Bang Story,PC,Adventure,2011-04-22,63,3.0,108
Let's Golf 3D,3DS,Sports,2011-07-28,62,15.0,105
Chantelise: A Tale of Two Sisters,PC,Role-Playing,2011-07-29,62,5.0,105
Gabrielle's Ghostly Groove 3D,3DS,Action,2011-10-04,62,4.0,102
Breach (2011),PC,Action,2011-01-26,61,4.0,111
Rayman 3D,3DS,Action,2011-03-22,61,4.0,109
Hunted: The Demon's Forge,PC,Action Adventure,2011-05-30,61,3.0,107
Cities XL 2012,PC,Strategy,2011-10-20,61,10.0,102
E.Y.E: Divine Cybermancy,PC,Role-Playing,2011-07-29,61,5.0,105
Venetica,PC,Role-Playing,2011-01-25,61,5.0,111
Samurai Warriors Chronicles,3DS,Action,2011-03-27,61,4.0,109
Storm: Frontline Nation,PC,Strategy,2011-06-10,60,10.0,106
Off-Road Drive,PC,Driving,2011-09-29,60,1.0,103
IL-2 Sturmovik: Cliffs of Dover,PC,Simulation,2011-04-26,60,14.0,108
Pac-Man & Galaga Dimensions,3DS,Action,2011-07-26,60,4.0,105
Faery: Legends of Avalon,PC,Role-Playing,2011-05-06,59,5.0,107
Ignite,PC,Driving,2011-10-28,59,1.0,102
Steel Diver,3DS,Action,2011-03-27,58,4.0,109
DualPenSports,3DS,Sports,2011-06-21,58,15.0,106
Cartoon Network: Punch Time Explosion,3DS,Action,2011-06-02,58,4.0,106
The First Templar,PC,Action Adventure,2011-05-12,57,3.0,107
3D Classics: Xevious,3DS,Action,2011-07-21,56,4.0,105
The Adventures of Tintin: The Game,3DS,Adventure,2011-12-06,56,3.0,100
APB: Reloaded,PC,Role-Playing,2011-12-01,56,5.0,100
Pirates of Black Cove,PC,Strategy,2011-08-02,56,10.0,104
Pokemon Rumble Blast,3DS,Action,2011-10-24,56,4.0,102
Edna & Harvey: The Breakout,PC,Adventure,2011-01-03,56,3.0,111
Super Monkey Ball 3D,3DS,Action,2011-03-27,55,4.0,109
Thor: God of Thunder,3DS,Action,2011-09-13,55,4.0,103
Rabbids Travel in Time 3D,3DS,Action,2011-04-10,55,4.0,108
Crasher,PC,Simulation,2011-01-28,55,14.0,111
The Cursed Crusade,PC,Action Adventure,2011-10-25,55,3.0,102
King Arthur: Fallen Champions,PC,Strategy,2011-09-16,54,10.0,103
Dream Trigger 3D,3DS,Action,2011-05-10,54,4.0,107
Duke Nukem Forever,PC,Action,2011-06-13,54,4.0,106
Jurassic Park: The Game,PC,Adventure,2011-11-15,54,3.0,101
Achron,PC,Strategy,2011-08-29,54,10.0,104
Frogger 3D,3DS,Action,2011-09-20,54,4.0,103
A Game of Thrones: Genesis,PC,Strategy,2011-09-28,53,10.0,103
Tom Clancy's Splinter Cell 3D,3DS,Action Adventure,2011-04-10,53,3.0,108
Alpha Polaris: A Horror Adventure Game,PC,Adventure,2011-06-24,52,3.0,106
The Sims 3,3DS,Simulation,2011-03-22,52,14.0,109
The Haunted: Hell's Reach,PC,Action Adventure,2011-10-24,51,3.0,102
Call of Juarez: The Cartel,PC,Action,2011-09-13,51,4.0,103
Captain America: Super Soldier,3DS,Action,2011-10-25,51,4.0,102
Spider-Man: Edge of Time,3DS,Action,2011-10-04,50,4.0,102
Afterfall: InSanity,PC,Role-Playing,2011-11-25,50,5.0,101
Gods & Heroes: Rome Rising,PC,Role-Playing,2011-06-21,50,5.0,106
Trapped Dead,PC,Strategy,2011-02-25,50,10.0,110
Dungeons & Dragons: Daggerdale,PC,Role-Playing,2011-05-25,49,5.0,107
Garshasp: The Monster Slayer,PC,Action Adventure,2011-05-09,49,3.0,107
Madden NFL Football,3DS,Sports,2011-03-22,49,15.0,109
Theatre of War 3: Korea,PC,Strategy,2011-03-24,49,10.0,109
Bust-A-Move Universe,3DS,Puzzle,2011-03-27,49,7.0,109
Driver: Renegade,3DS,Driving,2011-09-06,48,1.0,103
Grotesque Tactics 2: Dungeons & Donuts,PC,Strategy,2011-11-21,48,10.0,101
Stronghold 3,PC,Strategy,2011-10-24,47,10.0,102
Dead Horde,PC,Action Adventure,2011-07-27,45,3.0,105
Sword of the Stars II: Lords of Winter,PC,Strategy,2011-10-28,44,10.0,102
Combat of Giants: Dinosaurs 3D,3DS,Action Adventure,2011-03-27,44,3.0,109
Ghostbusters: Sanctum of Slime,PC,Action Adventure,2011-03-23,43,3.0,109
"Harry Potter and the Deathly Hallows, Part 2",PC,Action,2011-07-12,43,4.0,105
Painkiller: Redemption,PC,Action,2011-02-25,43,4.0,110
Asphalt 3D,3DS,Driving,2011-03-22,43,1.0,109
Arcania: Fall of Setarrif,PC,Role-Playing,2011-10-24,41,5.0,102
Battle: Los Angeles,PC,Action,2011-03-11,38,4.0,109
3D Classics: Urban Champion,3DS,Action,2011-08-18,37,4.0,104
Shadow Harvest: Phantom Ops,PC,Action,2011-04-05,34,4.0,108
The Asskickers,PC,Action,2011-07-21,31,4.0,105
Transformers: Dark of the Moon - Stealth Force Edition,3DS,Action,2011-06-14,30,4.0,106
FlatOut 3: Chaos & Destruction,PC,Driving,2011-12-13,23,1.0,100
Persona 4 Golden,VITA,Role-Playing,2012-11-20,93,5.0,89
Dishonored,PC,Action Adventure,2012-10-08,91,3.0,90
Mark of the Ninja,PC,Action,2012-10-16,91,4.0,90
Guild Wars 2,PC,General,2012-08-28,90,40.0,92
XCOM: Enemy Unknown,PC,Strategy,2012-10-08,89,10.0,90
Mass Effect 3,PC,Role-Playing,2012-03-06,89,5.0,97
Far Cry 3,PC,Action,2012-12-04,88,4.0,88
Torchlight II,PC,Role-Playing,2012-09-20,88,5.0,91
Thirty Flights of Loving,PC,Adventure,2012-08-20,88,3.0,92
Diablo III,PC,Role-Playing,2012-05-15,88,5.0,95
LittleBigPlanet PS Vita,VITA,Action,2012-09-18,88,4.0,91
Max Payne 3,PC,Action,2012-05-31,87,4.0,95
Battlefield 3: Armored Kill,PC,Action,2012-09-11,87,4.0,91
Total War: Shogun 2 - Fall of the Samurai,PC,Strategy,2012-03-22,86,10.0,97
Football Manager 2013,PC,Sports,2012-11-01,86,15.0,89
Black Mesa,PC,Action,2012-09-14,86,4.0,91
Tribes: Ascend,PC,Action,2012-04-12,86,4.0,96
Tales From Space: Mutant Blobs Attack,VITA,Action,2012-02-21,86,4.0,98
Mass Effect 3: Special Edition,WIIU,Action RPG,2012-11-13,85,5.0,89
Out of the Park Baseball 13,PC,Sports,2012-04-09,85,15.0,96
Dark Souls: Prepare to Die Edition,PC,Role-Playing,2012-08-24,85,5.0,92
NBA 2K13,WIIU,Sports,2012-11-18,85,15.0,89
Sine Mora,VITA,Action,2012-11-20,85,4.0,89
Mortal Kombat,VITA,Action,2012-05-01,85,4.0,95
Batman: Arkham City - Armored Edition,WIIU,Action Adventure,2012-11-18,85,3.0,89
Pinball FX 2,PC,Action,2012-10-27,84,4.0,90
Sound Shapes,VITA,Action,2012-08-07,84,4.0,92
Trine 2: Director's Cut,WIIU,Action,2012-11-18,84,4.0,89
FTL: Faster Than Light,PC,Simulation,2012-09-14,84,14.0,91
New Super Mario Bros. U,WIIU,Action,2012-11-18,84,4.0,89
Zero Escape: Virtue's Last Reward,VITA,Adventure,2012-10-23,84,3.0,90
Kid Icarus: Uprising,3DS,Action Adventure,2012-03-23,83,3.0,97
Tekken Tag Tournament 2: Wii U Edition,WIIU,Action,2012-11-18,83,4.0,89
Oddworld: Stranger's Wrath HD,VITA,Action Adventure,2012-12-18,83,3.0,88
Orcs Must Die! 2,PC,Action,2012-07-30,83,4.0,93
Alan Wake,PC,Action Adventure,2012-02-16,83,3.0,98
Gravity Rush,VITA,Action,2012-06-12,83,4.0,94
Superbrothers: Sword & Sworcery EP,PC,Adventure,2012-04-16,83,3.0,96
Counter-Strike: Global Offensive,PC,Action,2012-08-21,83,4.0,92
BlazBlue: Continuum Shift Extend,VITA,Action,2012-02-14,83,4.0,98
Professor Layton and the Miracle Mask,3DS,Puzzle,2012-10-28,82,7.0,90
Super Stardust Delta,VITA,General,2012-02-14,82,40.0,98
Sins of a Solar Empire: Rebellion,PC,Strategy,2012-06-12,82,10.0,94
Legend of Grimrock,PC,Role-Playing,2012-04-11,82,5.0,96
Borderlands 2: Mr. Torgue's Campaign of Carnage,PC,Action,2012-11-20,82,4.0,89
Crusader Kings II,PC,Strategy,2012-02-14,82,10.0,98
The Walking Dead: Episode 1 - A New Day,PC,Action,2012-04-24,82,4.0,96
Botanicula,PC,Adventure,2012-04-19,82,3.0,96
Darksiders II,PC,Action Adventure,2012-08-13,81,3.0,92
Lone Survivor,PC,Action Adventure,2012-04-23,81,3.0,96
The Cat Lady,PC,Adventure,2012-12-07,81,3.0,88
Vessel,PC,Action,2012-03-01,81,4.0,97
Kingdoms of Amalur: Reckoning,PC,Role-Playing,2012-02-07,81,5.0,98
Waveform,PC,Puzzle,2012-03-20,81,7.0,97
Wargame: European Escalation,PC,Strategy,2012-02-22,81,10.0,98
Sid Meier's Civilization V: Gods & Kings,PC,Strategy,2012-06-18,80,10.0,94
Mighty Switch Force! Hyper Drive Edition,WIIU,Action,2012-11-18,80,4.0,89
Pro Evolution Soccer 2013,PC,Sports,2012-09-25,80,15.0,91
Uncharted: Golden Abyss,VITA,Action Adventure,2012-02-15,80,3.0,98
Assassin's Creed III,PC,Action Adventure,2012-11-20,80,3.0,89
La-Mulana (Remake),PC,Action,2012-07-13,80,4.0,93
Natural Selection 2,PC,Action,2012-10-30,80,4.0,90
Borderlands 2: Captain Scarlett and Her Pirate's Booty,PC,Action,2012-10-16,80,4.0,90
F1 2012,PC,Driving,2012-09-17,80,1.0,91
Stealth Bastard Deluxe,PC,Action,2012-11-28,80,4.0,89
FIFA Soccer,VITA,Sports,2012-02-15,79,15.0,98
Wipeout 2048,VITA,Driving,2012-02-15,79,1.0,98
Hitman: Absolution,PC,Action Adventure,2012-11-19,79,3.0,89
ZEN Pinball 3D,3DS,Action,2012-01-12,79,4.0,99
Street Fighter X Tekken,PC,Action,2012-05-11,79,4.0,95
Rift: Storm Legion,PC,Role-Playing,2012-11-13,79,5.0,89
Need for Speed: Most Wanted - A Criterion Game,PC,Driving,2012-10-30,78,1.0,90
The Denpa Men: They Came By Wave,3DS,Role-Playing,2012-09-27,78,5.0,91
Baldur's Gate: Enhanced Edition,PC,Role-Playing,2012-11-28,78,5.0,89
Transformers: Fall of Cybertron,PC,Action,2012-08-20,78,4.0,92
Metal Gear Solid: Snake Eater 3D,3DS,Action Adventure,2012-02-21,78,3.0,98
MotorStorm RC,VITA,Driving,2012-03-06,78,1.0,97
Theatrhythm Final Fantasy,3DS,Action,2012-07-03,78,4.0,93
Fluidity: Spin Cycle,3DS,Action,2012-12-27,78,4.0,88
Chaos on Deponia,PC,Adventure,2012-11-06,78,3.0,89
Tropico 4: Modern Times,PC,Strategy,2012-03-29,78,10.0,97
Elemental: Fallen Enchantress,PC,Strategy,2012-10-23,78,10.0,90
Disgaea 3: Absence of Detention,VITA,Strategy,2012-04-17,78,10.0,96
New Super Mario Bros. 2,3DS,Action,2012-08-19,78,4.0,92
Deadlight,PC,Action,2012-10-25,78,4.0,90
Giana Sisters: Twisted Dreams,PC,Action,2012-10-22,77,4.0,90
3D Classics: Kid Icarus,3DS,Action,2012-03-23,77,4.0,97
Endless Space,PC,Strategy,2012-07-04,77,10.0,93
Virtua Tennis 4: World Tour Edition,VITA,Sports,2012-02-15,77,15.0,98
Penny Arcade Adventures: Episode Three,PC,Role-Playing,2012-06-25,77,5.0,94
The Darkness II,PC,Action,2012-02-06,77,4.0,98
ZombiU,WIIU,General,2012-11-18,77,40.0,89
Plants vs. Zombies,VITA,Strategy,2012-02-21,77,10.0,98
TERA,PC,Role-Playing,2012-05-01,77,5.0,95
Magic: The Gathering - Duels of the Planeswalkers 2013,PC,Strategy,2012-06-20,77,10.0,94
Dokuro,VITA,Action,2012-10-16,76,4.0,90
Resonance,PC,Adventure,2012-06-19,76,3.0,94
Ketzal's Corridors,3DS,General,2012-04-12,76,40.0,96
Miasmata,PC,Adventure,2012-11-28,76,3.0,89
MLB 12: The Show,VITA,Sports,2012-03-06,76,15.0,97
Spec Ops: The Line,PC,Action,2012-06-25,76,4.0,94
Hot Shots Golf: World Invitational,VITA,Sports,2012-02-07,76,15.0,98
Rhythm Thief & the Emperor's Treasure,3DS,Action,2012-07-10,76,4.0,93
Crimson Shroud,3DS,Role-Playing,2012-12-13,76,5.0,88
Prototype 2,PC,Action Adventure,2012-07-24,76,3.0,93
Super Monday Night Combat,PC,Action,2012-04-19,76,4.0,96
Dear Esther,PC,Adventure,2012-02-14,75,3.0,98
Tiny & Big: Grandpa's Leftovers,PC,Adventure,2012-06-19,75,3.0,94
Edna & Harvey: Harvey's New Eyes,PC,Adventure,2012-10-16,75,3.0,90
Tales of the Abyss,3DS,Role-Playing,2012-02-14,75,5.0,98
Paper Mario: Sticker Star,3DS,Action Adventure,2012-11-11,75,3.0,89
Kingdom Hearts 3D: Dream Drop Distance,3DS,Role-Playing,2012-06-05,75,5.0,94
Hustle Kings,VITA,Sports,2012-02-21,75,15.0,98
PlayStation All-Stars Battle Royale,VITA,Action,2012-11-20,75,4.0,89
Iron Brigade,PC,Action,2012-08-13,75,4.0,92
The Dark Eye: Chains of Satinav,PC,Adventure,2012-06-22,75,3.0,94
Warp,PC,Action,2012-03-13,75,4.0,97
Mass Effect 3: Leviathan,PC,Role-Playing,2012-08-28,75,5.0,92
Harvest Moon 3D: A New Beginning,3DS,Strategy,2012-11-06,74,10.0,89
The Sims 3 Supernatural,PC,Simulation,2012-09-04,74,14.0,91
King's Bounty: Warriors of the North,PC,Strategy,2012-10-25,74,10.0,90
Unmechanical,PC,Action,2012-08-08,74,4.0,92
Snapshot,PC,Action,2012-08-30,74,4.0,92
The Secret World,PC,Role-Playing,2012-07-03,74,5.0,93
TRI,PC,General,2012-07-08,74,40.0,93
Sakura Samurai: Art of the Sword,3DS,Action,2012-02-02,74,4.0,98
Call of Duty: Black Ops II,PC,Action,2012-11-12,74,4.0,89
Marvel Pinball 3D,3DS,Action,2012-06-28,74,4.0,94
Drox Operative,PC,Action,2012-11-29,74,4.0,89
They Bleed Pixels,PC,Action,2012-08-29,74,4.0,92
The Testament of Sherlock Holmes,PC,Adventure,2012-09-25,73,3.0,91
When Vikings Attack!,VITA,Action,2012-11-06,73,4.0,89
Ys: The Oath in Felghana,PC,Role-Playing,2012-03-19,73,5.0,97
Alan Wake's American Nightmare,PC,Action Adventure,2012-05-22,73,3.0,95
Driftmoon,PC,Role-Playing,2012-10-02,73,5.0,90
The Book of Unwritten Tales: Critter Chronicles,PC,Adventure,2012-12-05,73,3.0,88
Battlefield 3: Close Quarters,PC,Action,2012-06-26,73,4.0,94
Pro Evolution Soccer 2012 3D,3DS,Sports,2012-02-01,73,15.0,98
The Sims 3 Seasons,PC,Simulation,2012-11-13,73,14.0,89
HAWKEN,PC,Action,2012-12-12,73,4.0,88
Worms Revolution,PC,Strategy,2012-10-10,73,10.0,90
Unstoppable Gorg,PC,Strategy,2012-01-19,73,10.0,99
Scribblenauts Unlimited,3DS,Puzzle,2012-11-13,73,7.0,89
War of the Roses,PC,Action,2012-10-02,73,4.0,90
Order Up!!,3DS,Action,2012-06-21,72,4.0,94
Ridge Racer Unbounded,PC,Driving,2012-03-29,72,1.0,97
The Journey Down: Chapter One,PC,Adventure,2012-05-18,72,3.0,95
Cognition: An Erica Reed Thriller Episode 1 - The Hangman,PC,Adventure,2012-10-30,72,3.0,90
Underrail,PC,General,2012-12-05,72,40.0,88
A New Beginning: Final Cut,PC,Adventure,2012-12-11,72,3.0,88
DiRT Showdown,PC,Driving,2012-05-23,72,1.0,95
Primordia,PC,General,2012-12-05,72,40.0,88
Gateways,PC,Action,2012-09-12,72,4.0,91
Ninja Gaiden Sigma Plus,VITA,Action Adventure,2012-02-21,72,3.0,98
Shank 2,PC,Action,2012-02-07,72,4.0,98
Rayman Origins,3DS,Action,2012-11-06,71,4.0,89
Big Sky: Infinity,VITA,Action,2012-12-11,71,4.0,88
Retro City Rampage,PC,Action Adventure,2012-10-09,71,3.0,90
Street Fighter X Mega Man,PC,Action,2012-12-17,71,4.0,88
Tom Clancy's Ghost Recon: Future Soldier,PC,Action,2012-06-26,71,4.0,94
Unit 13,VITA,Action,2012-03-06,71,4.0,97
Nano Assault Neo,WIIU,Action,2012-11-18,71,4.0,89
